text,canonical_form_1,category_1,severity_rating,severity_description,text_without_stopwords
wise ass,ass,sexual anatomy / sexual acts,1.0,Mild,wiseass
fuckmachine,fuck,sexual anatomy / sexual acts,2.0,Strong,fuckmachine
fucking hell,fuck,sexual anatomy / sexual acts,2.0,Strong,fuckinghell
dick smoker,dick,sexual anatomy / sexual acts,2.4,Strong,dicksmoker
f0cker,fuck,sexual anatomy / sexual acts,2.4,Strong,f0cker
n1gg@hs,niggger,racial / ethnic slurs,2.8,Severe,n1gg@hs
fucker,fuck,sexual anatomy / sexual acts,2.2,Strong,fucker
faggot,faggot,sexual orientation / gender,2.8,Severe,faggot
mongoloid,mongoloid,racial / ethnic slurs,2.2,Strong,mongoloid
4r5ed,arse,sexual anatomy / sexual acts,1.4,Mild,4r5ed
motherfxcking,motherfucker,sexual anatomy / sexual acts,2.6,Severe,motherfxcking
bwc,cock,sexual anatomy / sexual acts,1.4,Mild,bwc
assmunch,ass,sexual anatomy / sexual acts,1.8,Strong,assmunch
jailba!t,jailbait,physical attributes,1.6,Strong,jailba!t
jigaboos,jiggaboo,racial / ethnic slurs,2.8,Severe,jigaboos
fucx,fuck,sexual anatomy / sexual acts,2.2,Strong,fucx
jim crow,jim crow,racial / ethnic slurs,1.4,Mild,jimcrow
cocksuccers,cock,sexual anatomy / sexual acts,2.2,Strong,cocksuccers
scamfuck,fuck,sexual anatomy / sexual acts,2.4,Strong,scamfuck
jerks off,jerk off,sexual anatomy / sexual acts,1.4,Mild,jerks
n1ggazes,nigger,racial / ethnic slurs,3.0,Severe,n1ggazes
jizz licker,jizz,sexual anatomy / sexual acts,2.4,Strong,jizzlicker
mutha fucka,motherfucker,sexual anatomy / sexual acts,2.8,Severe,muthafucka
clitlickers,clit,sexual anatomy / sexual acts,2.0,Strong,clitlickers
gay wad,gay,sexual orientation / gender,2.0,Strong,gaywad
gaytard,gay,sexual orientation / gender,2.8,Severe,gaytard
sh1tsome,shit,bodily fluids / excrement,1.2,Mild,sh1tsome
motherfuck,motherfucker,sexual anatomy / sexual acts,2.4,Strong,motherfuck
assfukah,fuck,sexual anatomy / sexual acts,2.4,Strong,assfukah
fukker,fuck,sexual anatomy / sexual acts,2.0,Strong,fukker
penisfuccer,penis,sexual anatomy / sexual acts,2.8,Severe,penisfuccer
spunk,spunk,bodily fluids / excrement,1.2,Mild,spunk
bastid,bastard,other / general insult,1.2,Mild,bastid
shitty,shit,bodily fluids / excrement,1.0,Mild,shitty
nignigs,nigger,racial / ethnic slurs,3.0,Severe,nignigs
heeb,hebe,racial / ethnic slurs,2.2,Strong,heeb
ladboyz,ladyboy,sexual orientation / gender,1.4,Mild,ladboyz
timber nigger,nigger,racial / ethnic slurs,3.0,Severe,timbernigger
caaak,cock,sexual anatomy / sexual acts,1.4,Mild,caaak
fcuked,fuck,sexual anatomy / sexual acts,2.2,Strong,fcuked
vulva,vulva,sexual anatomy / sexual acts,1.0,Mild,vulva
porch monkey,porch monkey,racial / ethnic slurs,3.0,Severe,porchmonkey
soppy bollucks,bollocks,sexual anatomy / sexual acts,1.6,Strong,soppybollucks
breasts,breast,sexual anatomy / sexual acts,1.0,Mild,breasts
cock,cock,sexual anatomy / sexual acts,1.4,Mild,cock
cockface,cock,sexual anatomy / sexual acts,2.0,Strong,cockface
MFers,motherfucker,sexual anatomy / sexual acts,2.8,Severe,MFers
shit-fucker,fuck,sexual anatomy / sexual acts,2.6,Severe,shit-fucker
coonies,coon,racial / ethnic slurs,3.0,Severe,coonies
jiggabu,jiggaboo,racial / ethnic slurs,3.0,Severe,jiggabu
bollock,bollocks,sexual anatomy / sexual acts,1.0,Mild,bollock
goddamn,damn,religious offense,1.6,Strong,goddamn
dog fucking,fuck,sexual anatomy / sexual acts,2.8,Severe,dogfucking
crows,crow,sexual orientation / gender,1.4,Mild,crows
peen,penis,sexual anatomy / sexual acts,1.0,Mild,peen
shitedick,shit,sexual anatomy / sexual acts,2.0,Strong,shitedick
carpetmunchers,carpet muncher,sexual orientation / gender,2.2,Strong,carpetmunchers
nobjockies,knob,sexual anatomy / sexual acts,1.8,Strong,nobjockies
pussy fucker,fuck,sexual anatomy / sexual acts,2.8,Severe,pussyfucker
ass licking,ass,sexual anatomy / sexual acts,1.6,Strong,asslicking
slanteyes,slant eye,racial / ethnic slurs,3.0,Severe,slanteyes
muthafucka,motherfucker,sexual anatomy / sexual acts,2.8,Severe,muthafucka
l@dyb0y,ladyboy,sexual orientation / gender,2.0,Strong,l@dyb0y
fxck,fuck,sexual anatomy / sexual acts,1.6,Strong,fxck
packerfudgehead,fudge packer,sexual anatomy / sexual acts,2.2,Strong,packerfudgehead
fack,fuck,sexual anatomy / sexual acts,1.4,Mild,fack
nigger,nigger,racial / ethnic slurs,3.0,Severe,nigger
fucking shit,fuck,sexual anatomy / sexual acts,1.8,Strong,fuckingshit
dicklicker,dick,sexual anatomy / sexual acts,2.2,Strong,dicklicker
rat bastard,bastard,other / general insult,1.6,Strong,ratbastard
cock smoker,cock,sexual anatomy / sexual acts,2.2,Strong,cocksmoker
sons of b1tches,bitch,sexual orientation / gender,1.6,Strong,sonsb1tches
fvcking,fuck,sexual anatomy / sexual acts,2.0,Strong,fvcking
shiester,shiester,racial / ethnic slurs,2.0,Strong,shiester
mofuk,motherfucker,other / general insult,2.2,Strong,mofuk
knobhead,knob,sexual anatomy / sexual acts,1.6,Strong,knobhead
milf,milf,sexual anatomy / sexual acts,1.8,Strong,milf
hoebag,hoe,sexual orientation / gender,2.0,Strong,hoebag
fcukker,fuck,sexual anatomy / sexual acts,2.2,Strong,fcukker
jackoffs,jack off,sexual anatomy / sexual acts,1.2,Mild,jackoffs
beyotch,bitch,other / general insult,1.2,Mild,beyotch
abeed,abeed,racial / ethnic slurs,1.8,Strong,abeed
lady-boy,ladyboy,sexual orientation / gender,2.6,Severe,lady-boy
bung hole,bung,sexual anatomy / sexual acts,1.0,Mild,bunghole
ass fecker,fuck,sexual anatomy / sexual acts,2.6,Severe,assfecker
mothafucks,motherfucker,sexual anatomy / sexual acts,2.8,Severe,mothafucks
cuksukka,cock,sexual anatomy / sexual acts,2.2,Strong,cuksukka
assfuck,fuck,sexual anatomy / sexual acts,2.6,Severe,assfuck
fuccing,fuck,sexual anatomy / sexual acts,2.6,Severe,fuccing
pussies,pussy,sexual anatomy / sexual acts,1.0,Mild,pussies
fuking,fuck,sexual anatomy / sexual acts,2.0,Strong,fuking
coksucka,cock,sexual anatomy / sexual acts,1.8,Strong,coksucka
mother fuck,motherfucker,sexual anatomy / sexual acts,2.8,Severe,motherfuck
fcuks,fuck,sexual anatomy / sexual acts,2.2,Strong,fcuks
gash-stabber,gash-stabber,sexual anatomy / sexual acts,2.0,Strong,gash-stabber
wanks,wank,sexual anatomy / sexual acts,1.0,Mild,wanks
spick,spic,racial / ethnic slurs,2.8,Severe,spick
jack-offs,jack off,sexual anatomy / sexual acts,1.4,Mild,jack-offs
tossing salad,tossing salad,sexual anatomy / sexual acts,1.8,Strong,tossingsalad
shi+y,shit,bodily fluids / excrement,1.0,Mild,shi+y
klan,klan,racial / ethnic slurs,1.8,Strong,klan
jerkoff,jerk off,sexual anatomy / sexual acts,1.6,Strong,jerkoff
groper,grope,sexual anatomy / sexual acts,1.4,Mild,groper
fukheads,fuck,sexual anatomy / sexual acts,2.0,Strong,fukheads
knobed,knob,sexual anatomy / sexual acts,1.4,Mild,knobed
tar-baby,tar-baby,racial / ethnic slurs,2.6,Severe,tar-baby
mfk,motherfucker,sexual anatomy / sexual acts,1.6,Strong,mfk
bell end,bellend,mental disability,1.0,Mild,bellend
fuck face,fuck,sexual anatomy / sexual acts,2.4,Strong,fuckface
slanteye,slant eye,racial / ethnic slurs,3.0,Severe,slanteye
arse-fuckers,fuck,sexual anatomy / sexual acts,2.6,Severe,arse-fuckers
darktard,retard,racial / ethnic slurs,3.0,Severe,darktard
dafuq,fuck,sexual anatomy / sexual acts,2.2,Strong,dafuq
slanteyeshit,shit,bodily fluids / excrement,3.0,Severe,slanteyeshit
darkfuck,fuck,sexual anatomy / sexual acts,2.4,Strong,darkfuck
phucup,fuck,sexual anatomy / sexual acts,1.8,Strong,phucup
mothafcked,motherfucker,sexual anatomy / sexual acts,2.6,Severe,mothafcked
fagot,faggot,sexual orientation / gender,2.8,Severe,fagot
jerking off,jerk off,sexual anatomy / sexual acts,1.0,Mild,jerking
pussy licker,pussy,sexual anatomy / sexual acts,2.4,Strong,pussylicker
wanker,wank,sexual anatomy / sexual acts,1.0,Mild,wanker
boll0ck,bollocks,sexual anatomy / sexual acts,1.0,Mild,boll0ck
dick milker,dick,sexual anatomy / sexual acts,2.2,Strong,dickmilker
piss shit,piss,bodily fluids / excrement,1.4,Mild,pissshit
nig-nog,nigger,racial / ethnic slurs,2.8,Severe,nig-nog
m0f0,motherfucker,sexual anatomy / sexual acts,2.0,Strong,m0f0
mfukk,motherfucker,sexual anatomy / sexual acts,3.0,Severe,mfukk
cuntbag,cunt,sexual anatomy / sexual acts,3.0,Severe,cuntbag
fuckin,fuck,sexual anatomy / sexual acts,2.0,Strong,fuckin
fck,fuck,sexual anatomy / sexual acts,2.4,Strong,fck
fothermuckers,motherfucker,sexual anatomy / sexual acts,1.8,Strong,fothermuckers
ass-fucker,fuck,sexual anatomy / sexual acts,2.8,Severe,ass-fucker
jackass,ass,animal references,1.0,Mild,jackass
turdcutter,turd,other / general insult,1.6,Strong,turdcutter
cocksukka,cock,sexual anatomy / sexual acts,2.2,Strong,cocksukka
mofos,motherfucker,sexual anatomy / sexual acts,2.0,Strong,mofos
asshat,ass,sexual anatomy / sexual acts,1.2,Mild,asshat
f@gging,faggot,sexual orientation / gender,2.8,Severe,f@gging
f@cker bunny,fuck,sexual anatomy / sexual acts,2.2,Strong,f@ckerbunny
biches,bitch,sexual orientation / gender,1.4,Mild,biches
peckerhead,pecker,sexual anatomy / sexual acts,1.6,Strong,peckerhead
motherfvcking,motherfucker,sexual anatomy / sexual acts,2.8,Severe,motherfvcking
f0cked,fuck,sexual anatomy / sexual acts,2.0,Strong,f0cked
wnker,wank,sexual anatomy / sexual acts,1.0,Mild,wnker
sheister,shit,racial / ethnic slurs,2.0,Strong,sheister
fecker,fuck,sexual anatomy / sexual acts,2.2,Strong,fecker
mfckers,motherfucker,sexual anatomy / sexual acts,2.2,Strong,mfckers
muffdiving,muff,sexual anatomy / sexual acts,2.0,Strong,muffdiving
assfuckers,fuck,sexual anatomy / sexual acts,2.8,Severe,assfuckers
fcked,fuck,sexual anatomy / sexual acts,2.0,Strong,fcked
cyberfck,fuck,sexual anatomy / sexual acts,2.2,Strong,cyberfck
mufdive,muff,sexual anatomy / sexual acts,1.8,Strong,mufdive
shylock,shylock,racial / ethnic slurs,1.6,Strong,shylock
douche bag,douche,other / general insult,1.0,Mild,douchebag
phagot,faggot,sexual orientation / gender,3.0,Severe,phagot
funbags,funbags,sexual anatomy / sexual acts,1.0,Mild,funbags
shitass,shit,sexual anatomy / sexual acts,2.0,Strong,shitass
biotchez,bitch,sexual orientation / gender,1.4,Mild,biotchez
whoars,whore,sexual orientation / gender,2.0,Strong,whoars
tits,tit,sexual anatomy / sexual acts,1.0,Mild,tits
girlyboy,girlyboy,sexual orientation / gender,1.4,Mild,girlyboy
jizzstain,jizz,bodily fluids / excrement,2.8,Severe,jizzstain
s_h_i_,shit,bodily fluids / excrement,1.2,Mild,s_h_i_
hoar,whore,sexual orientation / gender,1.8,Strong,hoar
4r5e,arse,sexual anatomy / sexual acts,1.4,Mild,4r5e
nickk3r,nigger,racial / ethnic slurs,3.0,Severe,nickk3r
cock-sucker,cock,sexual anatomy / sexual acts,2.0,Strong,cock-sucker
fucca,fuck,sexual anatomy / sexual acts,2.0,Strong,fucca
kiddy touch,kidtoucher,sexual anatomy / sexual acts,1.8,Strong,kiddytouch
penisfucker,fuck,sexual anatomy / sexual acts,3.0,Severe,penisfucker
cunt lick,cunt,sexual anatomy / sexual acts,3.0,Severe,cuntlick
negroid,negro,racial / ethnic slurs,2.6,Severe,negroid
godamnit,damn,religious offense,2.0,Strong,godamnit
sh1theads,shit,bodily fluids / excrement,2.0,Strong,sh1theads
f_u_c_k,fuck,sexual anatomy / sexual acts,2.2,Strong,f_u_c_k
d1cksucker,dick,sexual anatomy / sexual acts,1.8,Strong,d1cksucker
nicker,nigger,racial / ethnic slurs,3.0,Severe,nicker
cunt licker,cunt,sexual anatomy / sexual acts,3.0,Severe,cuntlicker
knob,knob,sexual anatomy / sexual acts,1.4,Mild,knob
gay ass,gay,sexual anatomy / sexual acts,2.6,Severe,gayass
mofcker,motherfucker,sexual anatomy / sexual acts,2.6,Severe,mofcker
jiggerboo,jiggaboo,racial / ethnic slurs,2.6,Severe,jiggerboo
gay fuck,fuck,sexual orientation / gender,2.6,Severe,gayfuck
4r5es,arse,sexual anatomy / sexual acts,1.4,Mild,4r5es
ladboys,ladyboy,sexual orientation / gender,1.4,Mild,ladboys
ladiboy,ladyboy,sexual orientation / gender,2.2,Strong,ladiboy
shitfuck,fuck,sexual anatomy / sexual acts,2.2,Strong,shitfuck
r3tard,retard,mental disability,2.6,Severe,r3tard
sk@nkz,skank,sexual orientation / gender,1.4,Mild,sk@nkz
markasses,ass,sexual anatomy / sexual acts,2.0,Strong,markasses
geebag,garbage bag,sexual orientation / gender,1.8,Strong,geebag
phukeds,fuck,sexual anatomy / sexual acts,2.0,Strong,phukeds
butt fuck,fuck,sexual anatomy / sexual acts,2.2,Strong,buttfuck
cocksmoker,cock,sexual anatomy / sexual acts,2.2,Strong,cocksmoker
butt-fucker,fuck,sexual anatomy / sexual acts,2.2,Strong,butt-fucker
ass,ass,sexual anatomy / sexual acts,1.0,Mild,ass
swine,swine,animal references,1.0,Mild,swine
fux,fuck,sexual anatomy / sexual acts,2.2,Strong,fux
prick,prick,sexual anatomy / sexual acts,1.0,Mild,prick
shitty mofoes,shit,bodily fluids / excrement,1.6,Strong,shittymofoes
kkk,kkk,other / general insult,1.8,Strong,kkk
boner,boner,sexual anatomy / sexual acts,1.0,Mild,boner
s-lut,slut,sexual orientation / gender,1.8,Strong,s-lut
meat-sword,meat,sexual anatomy / sexual acts,1.2,Mild,meat-sword
fuckstick,fuck,sexual anatomy / sexual acts,2.2,Strong,fuckstick
tadger,tadger,sexual anatomy / sexual acts,1.4,Mild,tadger
jizzfucker,fuck,bodily fluids / excrement,2.6,Severe,jizzfucker
motherfckshit,motherfucker,sexual anatomy / sexual acts,2.8,Severe,motherfckshit
double-dong,dong,sexual anatomy / sexual acts,1.4,Mild,double-dong
shipdit,shit,bodily fluids / excrement,1.4,Mild,shipdit
forked,fuck,sexual anatomy / sexual acts,1.0,Mild,forked
futhamucka,motherfucker,sexual anatomy / sexual acts,2.6,Severe,futhamucka
jizzed,jizz,bodily fluids / excrement,2.0,Strong,jizzed
c0ck,cock,sexual anatomy / sexual acts,1.2,Mild,c0ck
butt-fuckers,fuck,sexual anatomy / sexual acts,2.8,Severe,butt-fuckers
S&M,sadomasochism,sexual anatomy / sexual acts,1.0,Mild,S&M
higg3r,nigger,racial / ethnic slurs,2.8,Severe,higg3r
j-offs,jerk off,sexual anatomy / sexual acts,1.4,Mild,j-offs
b1tch3s,bitch,sexual orientation / gender,1.4,Mild,b1tch3s
pu55y,pussy,sexual anatomy / sexual acts,1.6,Strong,pu55y
arse-hole,arse,sexual anatomy / sexual acts,1.8,Strong,arse-hole
anus plug,anus,sexual anatomy / sexual acts,2.0,Strong,anusplug
phuc,fuck,sexual anatomy / sexual acts,2.0,Strong,phuc
fukwit,fuck,sexual anatomy / sexual acts,2.2,Strong,fukwit
fcvking,fuck,sexual anatomy / sexual acts,2.2,Strong,fcvking
b0llocks,bollocks,sexual anatomy / sexual acts,1.2,Mild,b0llocks
bitchs,bitch,sexual orientation / gender,1.0,Mild,bitchs
biotch,bitch,sexual orientation / gender,1.0,Mild,biotch
mothafuckasses,motherfucker,sexual anatomy / sexual acts,3.0,Severe,mothafuckasses
m@derfaker,motherfucker,sexual anatomy / sexual acts,2.8,Severe,m@derfaker
higger,nigger,racial / ethnic slurs,2.6,Severe,higger
fucc,fuck,sexual anatomy / sexual acts,2.0,Strong,fucc
niggahs,nigger,racial / ethnic slurs,2.2,Strong,niggahs
shi+e,shit,bodily fluids / excrement,1.0,Mild,shi+e
cockmunch,cock,sexual anatomy / sexual acts,2.2,Strong,cockmunch
mothafuccer,motherfucker,sexual anatomy / sexual acts,3.0,Severe,mothafuccer
fcuk,fuck,sexual anatomy / sexual acts,2.0,Strong,fcuk
cuntits,cunt,sexual anatomy / sexual acts,2.8,Severe,cuntits
dick sucker,dick,sexual anatomy / sexual acts,2.2,Strong,dicksucker
s.o.b.,bitch,other / general insult,1.2,Mild,s.o.b.
cockheads,cock,sexual anatomy / sexual acts,2.4,Strong,cockheads
g@yshit,shit,sexual orientation / gender,2.6,Severe,g@yshit
fuccers,fuck,sexual anatomy / sexual acts,2.2,Strong,fuccers
muffdivings,muff,sexual anatomy / sexual acts,2.2,Strong,muffdivings
jigger,jiggaboo,racial / ethnic slurs,3.0,Severe,jigger
cockskin,cock,sexual anatomy / sexual acts,1.8,Strong,cockskin
m0therfucking,motherfucker,sexual anatomy / sexual acts,3.0,Severe,m0therfucking
mega fag,faggot,sexual orientation / gender,2.8,Severe,megafag
fvckwhi,fuck,sexual anatomy / sexual acts,2.2,Strong,fvckwhi
shitsful,shit,bodily fluids / excrement,1.0,Mild,shitsful
shithole,shit,sexual anatomy / sexual acts,1.8,Strong,shithole
kyke,kike,racial / ethnic slurs,3.0,Severe,kyke
asswhole,ass,sexual anatomy / sexual acts,1.4,Mild,asswhole
mother fucking,motherfucker,sexual anatomy / sexual acts,3.0,Severe,motherfucking
cuntless,cunt,sexual anatomy / sexual acts,2.8,Severe,cuntless
cock-face,cock,sexual anatomy / sexual acts,2.2,Strong,cock-face
c0xux0r,cock,sexual anatomy / sexual acts,1.8,Strong,c0xux0r
phucc,fuck,sexual anatomy / sexual acts,2.0,Strong,phucc
cockboy,cock,sexual anatomy / sexual acts,2.4,Strong,cockboy
motherfukka,motherfucker,sexual anatomy / sexual acts,3.0,Severe,motherfukka
cock knocker,cock,sexual anatomy / sexual acts,1.8,Strong,cockknocker
motherfucking,motherfucker,sexual anatomy / sexual acts,2.8,Severe,motherfucking
tongue fucker,fuck,sexual anatomy / sexual acts,2.4,Strong,tonguefucker
niga,nigger,racial / ethnic slurs,2.6,Severe,niga
motherfuckka,motherfucker,sexual anatomy / sexual acts,3.0,Severe,motherfuckka
whor3,whore,sexual orientation / gender,1.8,Strong,whor3
gaylord,gay,sexual orientation / gender,1.6,Strong,gaylord
motherfukker,motherfucker,sexual anatomy / sexual acts,3.0,Severe,motherfukker
niccer,nigger,racial / ethnic slurs,2.6,Severe,niccer
b1tch35,bitch,sexual orientation / gender,1.0,Mild,b1tch35
faggots,faggot,sexual orientation / gender,3.0,Severe,faggots
a_s_s,ass,sexual anatomy / sexual acts,1.0,Mild,a_s_s
shitted,shit,bodily fluids / excrement,1.2,Mild,shitted
gay fucker,fuck,sexual anatomy / sexual acts,2.8,Severe,gayfucker
phuks,fuck,sexual anatomy / sexual acts,2.2,Strong,phuks
fudgepackers,fudge packer,sexual anatomy / sexual acts,2.2,Strong,fudgepackers
b1tching,bitch,sexual orientation / gender,1.2,Mild,b1tching
fukked,fuck,sexual anatomy / sexual acts,2.0,Strong,fukked
shit stain,shit,bodily fluids / excrement,1.8,Strong,shitstain
shitface,shit,bodily fluids / excrement,2.0,Strong,shitface
pusses,pussy,sexual anatomy / sexual acts,1.4,Mild,pusses
niguh,nigger,racial / ethnic slurs,2.8,Severe,niguh
doggy_style,doggy style,sexual anatomy / sexual acts,1.4,Mild,doggy_style
ass-bandit,ass,sexual anatomy / sexual acts,1.8,Strong,ass-bandit
dumbfucks,fuck,sexual anatomy / sexual acts,2.2,Strong,dumbfucks
mother fucka,motherfucker,sexual anatomy / sexual acts,2.8,Severe,motherfucka
motherfucked,motherfucker,sexual anatomy / sexual acts,3.0,Severe,motherfucked
c*ntface,cunt,sexual anatomy / sexual acts,3.0,Severe,c*ntface
sh1tt,shit,bodily fluids / excrement,1.0,Mild,sh1tt
jiggaboo,jiggaboo,racial / ethnic slurs,3.0,Severe,jiggaboo
spik,spic,racial / ethnic slurs,3.0,Severe,spik
sausage jockey,sausage jockey,sexual anatomy / sexual acts,2.6,Severe,sausagejockey
sh1th3ad,shit,bodily fluids / excrement,2.0,Strong,sh1th3ad
molester,molest,sexual anatomy / sexual acts,2.2,Strong,molester
dickjockies,dick,sexual anatomy / sexual acts,2.2,Strong,dickjockies
nobj0key,knob,sexual anatomy / sexual acts,1.8,Strong,nobj0key
fag queen,faggot,sexual orientation / gender,2.8,Severe,fagqueen
bitchtits,bitch,sexual anatomy / sexual acts,2.2,Strong,bitchtits
vag,vagina,sexual anatomy / sexual acts,1.2,Mild,vag
skanks,skank,sexual orientation / gender,1.2,Mild,skanks
peener,penis,sexual anatomy / sexual acts,1.0,Mild,peener
baby batter,baby batter,bodily fluids / excrement,1.4,Mild,babybatter
cooterpuffing,coot,sexual anatomy / sexual acts,2.4,Strong,cooterpuffing
cock sucking,cock,sexual anatomy / sexual acts,2.2,Strong,cocksucking
klitoris,clit,sexual anatomy / sexual acts,1.0,Mild,klitoris
arse hole,arse,sexual anatomy / sexual acts,1.2,Mild,arsehole
mofuck,motherfucker,sexual anatomy / sexual acts,2.8,Severe,mofuck
asshol3,ass,sexual anatomy / sexual acts,1.8,Strong,asshol3
knickers,nigger,racial / ethnic slurs,1.8,Strong,knickers
phuccer,fuck,sexual anatomy / sexual acts,2.2,Strong,phuccer
sh1t,shit,bodily fluids / excrement,1.2,Mild,sh1t
jack-off,jack off,sexual anatomy / sexual acts,1.2,Mild,jack-off
weenie,weenie,sexual anatomy / sexual acts,1.0,Mild,weenie
butt pirate,butt,sexual orientation / gender,2.2,Strong,buttpirate
phuckin,fuck,sexual anatomy / sexual acts,2.0,Strong,phuckin
oven dodger,oven dodger,racial / ethnic slurs,2.0,Strong,ovendodger
Phukking,fuck,sexual anatomy / sexual acts,1.8,Strong,Phukking
injun,injun,racial / ethnic slurs,2.4,Strong,injun
fucking A,fuck,sexual anatomy / sexual acts,2.4,Strong,fucking
fkbny,fuck,sexual anatomy / sexual acts,1.6,Strong,fkbny
ragheads,raghead,racial / ethnic slurs,2.6,Severe,ragheads
tosser,tosser,other / general insult,1.2,Mild,tosser
g0ddamnit,damn,religious offense,1.0,Mild,g0ddamnit
whack off,whack off,sexual anatomy / sexual acts,1.2,Mild,whack
knobjockies,knob,sexual anatomy / sexual acts,1.8,Strong,knobjockies
scumfvck,fuck,sexual anatomy / sexual acts,2.4,Strong,scumfvck
dumbarrassed,ass,mental disability,1.4,Mild,dumbarrassed
phuked,fuck,sexual anatomy / sexual acts,2.2,Strong,phuked
slut,slut,sexual orientation / gender,2.0,Strong,slut
fcking,fuck,sexual anatomy / sexual acts,2.2,Strong,fcking
fuckbag,fuck,sexual anatomy / sexual acts,2.6,Severe,fuckbag
cumdumpster,cum,bodily fluids / excrement,2.8,Severe,cumdumpster
negr0,negro,racial / ethnic slurs,2.8,Severe,negr0
fckahz,fuck,sexual anatomy / sexual acts,2.2,Strong,fckahz
shit,shit,bodily fluids / excrement,1.2,Mild,shit
gin jockey,gin jockey,sexual anatomy / sexual acts,2.0,Strong,ginjockey
cock munch,cock,sexual anatomy / sexual acts,2.0,Strong,cockmunch
shitting,shit,bodily fluids / excrement,1.4,Mild,shitting
Camel jockey,camel jockey,racial / ethnic slurs,2.8,Severe,Cameljockey
wank3r,wank,sexual anatomy / sexual acts,1.0,Mild,wank3r
@ssfcker,fuck,sexual anatomy / sexual acts,2.8,Severe,@ssfcker
n1ggers,nigger,racial / ethnic slurs,3.0,Severe,n1ggers
nob jokeys,knob,sexual anatomy / sexual acts,1.8,Strong,nobjokeys
f0ck,fuck,sexual anatomy / sexual acts,2.0,Strong,f0ck
d1ckz,dick,sexual anatomy / sexual acts,1.0,Mild,d1ckz
sonofabitch,bitch,other / general insult,1.4,Mild,sonofabitch
god-dam,damn,religious offense,1.2,Mild,god-dam
cumslut,cum,bodily fluids / excrement,2.8,Severe,cumslut
fucking,fuck,sexual anatomy / sexual acts,2.2,Strong,fucking
muddafukkas,motherfucker,sexual anatomy / sexual acts,3.0,Severe,muddafukkas
groid,groid,racial / ethnic slurs,2.0,Strong,groid
crotch fiddler,crotch,sexual anatomy / sexual acts,2.2,Strong,crotchfiddler
ja1lbait,jailbait,physical attributes,1.0,Mild,ja1lbait
twatt,twat,sexual anatomy / sexual acts,1.6,Strong,twatt
sh3male,shemale,sexual orientation / gender,2.4,Strong,sh3male
motherfcked,motherfucker,sexual anatomy / sexual acts,2.8,Severe,motherfcked
mothafuckas,motherfucker,sexual anatomy / sexual acts,2.6,Severe,mothafuckas
sh1te,shit,bodily fluids / excrement,1.0,Mild,sh1te
fugly,fuck,physical attributes,1.4,Mild,fugly
whoar,whore,sexual orientation / gender,1.8,Strong,whoar
sissy,sissy,sexual orientation / gender,1.0,Mild,sissy
gobshite,shit,bodily fluids / excrement,1.8,Strong,gobshite
dipshits,shit,bodily fluids / excrement,1.6,Strong,dipshits
dickskin,dick,sexual anatomy / sexual acts,1.8,Strong,dickskin
cyberfukks,fuck,sexual anatomy / sexual acts,2.2,Strong,cyberfukks
f'er,fuck,sexual anatomy / sexual acts,1.6,Strong,f'er
nigg4h,nigger,racial / ethnic slurs,3.0,Severe,nigg4h
shtfuk,shit,other / general insult,1.8,Strong,shtfuk
wank off,wank,sexual anatomy / sexual acts,1.0,Mild,wank
jerk-offs,jerk off,sexual anatomy / sexual acts,1.0,Mild,jerk-offs
cuntelope,cunt,sexual anatomy / sexual acts,2.4,Strong,cuntelope
son o bitch,bitch,sexual orientation / gender,1.6,Strong,sonbitch
d1ldo,dildo,sexual anatomy / sexual acts,1.4,Mild,d1ldo
k1k3,kike,racial / ethnic slurs,3.0,Severe,k1k3
flamers,flamer,sexual orientation / gender,2.8,Severe,flamers
ass eating boiolas,ass,sexual anatomy / sexual acts,2.8,Severe,asseatingboiolas
knobead,knob,sexual anatomy / sexual acts,1.4,Mild,knobead
phuk,fuck,sexual anatomy / sexual acts,2.0,Strong,phuk
sheet,shit,bodily fluids / excrement,1.0,Mild,sheet
cyberfuccs,fuck,sexual anatomy / sexual acts,2.2,Strong,cyberfuccs
nigga,nigger,racial / ethnic slurs,2.8,Severe,nigga
fuq,fuck,sexual anatomy / sexual acts,1.8,Strong,fuq
nigra,nigger,racial / ethnic slurs,2.8,Severe,nigra
shittyfuckface,fuck,sexual anatomy / sexual acts,2.2,Strong,shittyfuckface
shittiest,shit,bodily fluids / excrement,1.2,Mild,shittiest
cock-head,cock,sexual anatomy / sexual acts,1.8,Strong,cock-head
dickface,dick,sexual anatomy / sexual acts,2.0,Strong,dickface
coon,coon,racial / ethnic slurs,3.0,Severe,coon
fellator,fellatio,sexual anatomy / sexual acts,1.6,Strong,fellator
towelhead,towelhead,racial / ethnic slurs,3.0,Severe,towelhead
fags,faggot,sexual orientation / gender,3.0,Severe,fags
throat yogurt,throat yogurt,bodily fluids / excrement,1.8,Strong,throatyogurt
pillow-biter,pillow biter,sexual orientation / gender,1.6,Strong,pillow-biter
get fucked,fuck,sexual anatomy / sexual acts,2.4,Strong,getfucked
beat my meat,meat,sexual anatomy / sexual acts,1.2,Mild,beatmeat
b1tches,bitch,sexual orientation / gender,1.4,Mild,b1tches
full of shit,shit,bodily fluids / excrement,1.0,Mild,fullshit
we1back,wetback,racial / ethnic slurs,2.6,Severe,we1back
asshole fucker,fuck,sexual anatomy / sexual acts,2.6,Severe,assholefucker
